"","V1","V2","V3","V4"
"1",0,0,10,"0"
"2",0.998334166468282,0,9.95004165278026,"0"
"3",1.98669330795061,0,9.80066577841242,"0"
"4",2.9552020666134,0,9.55336489125606,"0"
"5",3.89418342308651,0,9.21060994002885,"0"
"6",4.79425538604203,0,8.77582561890373,"0"
"7",5.64642473395035,0,8.25335614909678,"0"
"8",6.44217687237691,0,7.64842187284488,"0"
"9",7.17356090899523,0,6.96706709347165,"0"
"10",7.83326909627483,0,6.21609968270664,"0"
"11",8.41470984807897,0,5.4030230586814,"0"
"12",8.91207360061435,0,4.53596121425577,"0"
"13",9.32039085967226,0,3.62357754476673,"0"
"14",9.63558185417193,0,2.67498828624587,"0"
"15",9.8544972998846,0,1.69967142900241,"0"
"16",9.97494986604054,0,0.707372016677029,"0"
"17",9.99573603041505,0,-0.291995223012888,"0"
"18",9.91664810452469,0,-1.28844494295525,"0"
"19",9.73847630878195,0,-2.27202094693087,"0"
"20",9.46300087687414,0,-3.23289566863504,"0"
"21",9.09297426825682,0,-4.16146836547142,"0"
"22",8.63209366648874,0,-5.04846104599858,"0"
"23",8.0849640381959,0,-5.88501117255346,"0"
"24",7.4570521217672,0,-6.66276021279824,"0"
"25",6.75463180551151,0,-7.37393715541246,"0"
"26",5.98472144103957,0,-8.01143615546934,"0"
"27",5.15501371821464,0,-8.56888753368947,"0"
"28",4.2737988023383,0,-9.04072142017061,"0"
"29",3.34988150155905,0,-9.42222340668658,"0"
"30",2.39249329213982,0,-9.70958165149591,"0"
"31",1.41120008059867,0,-9.89992496600445,"0"
"32",0.415806624332905,0,-9.99135150273279,"0"
"33",-0.583741434275801,0,-9.98294775794753,"0"
"34",-1.57745694143249,0,-9.87479769908865,"0"
"35",-2.55541102026832,0,-9.66798192579461,"0"
"36",-3.5078322768962,0,-9.36456687290796,"0"
"37",-4.42520443294852,0,-8.96758416334147,"0"
"38",-5.29836140908493,0,-8.48100031710408,"0"
"39",-6.11857890942719,0,-7.90967711914417,"0"
"40",-6.87766159183974,0,-7.2593230420014,"0"
"41",-7.56802495307928,0,-6.53643620863612,"0"
"42",-8.18277111064411,0,-5.74823946533269,"0"
"43",-8.71575772413588,0,-4.90260821340699,"0"
"44",-9.16165936749455,0,-4.00799172079975,"0"
"45",-9.51602073889516,0,-3.07332869978419,"0"
"46",-9.77530117665097,0,-2.1079579943078,"0"
"47",-9.93691003633464,0,-1.12152526935054,"0"
"48",-9.99923257564101,0,-0.123886634628906,"0"
"49",-9.96164608835841,0,0.874989834394473,"0"
"50",-9.82452612624332,0,1.86512369422576,"0"
"51",-9.58924274663138,0,2.83662185463226,"0"
"52",-9.25814682327732,0,3.77977742712981,"0"
"53",-8.83454655720153,0,4.68516671300377,"0"
"54",-8.32267442223901,0,5.54374336179162,"0"
"55",-7.72764487555987,0,6.34692875942635,"0"
"56",-7.05540325570392,0,7.0866977429126,"0"
"57",-6.31266637872321,0,7.7556587851025,"0"
"58",-5.50685542597638,0,8.3471278483916,"0"
"59",-4.64602179413757,0,8.85519516941319,"0"
"60",-3.73876664830236,0,9.27478430744036,"0"
